Acanthamoeba castellanii
Acinetobacter baumannii
Actinobacillus actinomycetemcomitans
Actinomadura madurae
Actinomadura pelletieri
Actinomyces gerencseriae
Actinomyces israelii
Alcaligenes species
Ancylostoma duodenale
Angiostrongylus cantonensis
Angiostrongylus costaricensis
Anisakis simplex
Arcanobacterium haemolyticum
Arcanobacterium pyogenes
Ascaris lumbricoides
Ascaris suum
Aspergillus fumigatus
Babesia divergens
Babesia microti
Bacillus anthracis
Bacillus cereus
Bacteroides fragilis
Balantidium coli
Bartonella bacilliformis
Bartonella quintana
Bartonella species
Blastocystis hominis
Blastomyces dermatitidis
Bordetella bronchiseptica
Bordetella parapertussis
Bordetella pertussis
Borrelia burgdorferi
Borrelia duttonii
Borrelia recurrentis
Brachiola algerae
Brucella abortus
Brucella canis
Brucella melitensis
Brucella suis
Brugia malayi
Brugia pahangi
Brugia timori
Burkholderia cepacia
Burkholderia mallei
Burkholderia pseudomallei
Campylobacter fetus
Campylobacter jejuni
Candida albicans
Candida tropicalis
Capillaria philippinensis
Cardiobacterium hominis
Chlamydia pneumoniae
Chlamydia psittaci
Chlamydia psittaci
Chlamydia trachomatis
Chlamydia trachomatis
Cladophialophora bantiana
Claviceps species
Clonorchis sinensis
Clostridium botulinum
Clostridium perfringens
Clostridium tetani
Coccidioides immitis
Contracaecum osculatum
Corynebacterium diphtheriae
Corynebacterium minutissimum
Corynebacterium pseudotuberculosis
Coxiella burnetii
Cryptococcus neoformans
Cryptococcus neoformans
Cryptosporidium parvum
Cyclospora cayetanensis
Cystoisospora belli
Dicrocoelium dendriticum
Dientamoeba fragilis
Diphyllobothrium latum
Dracunculus medinensis
Echinococcus granulosus
Echinococcus multilocularis
Echinococcus vogeli
Edwardsiella tarda
Ehrlichia sennetsu
Eikenella corrodens
Emmonsia parva
Emmonsia parva
Entamoeba histolytica
Enterobacter aerogenes
Enterobacter cloacae
Enterobius vermicularis
Enterococcus species
Enterocytozoon bieneusi
Epidermophyton floccosum
Erysipelothrix rhusiopathiae
Escherichia coli
Escherichia coli
Escherichia coli
Fasciola gigantica
Fasciola hepatica
Fasciolopsis buski
Flavobacterium meningosepticum
Fluoribacter bozemanae
Fonsecaea compacta
Fonsecaea pedrosoi
Francisella tularensis
Francisella tularensis
Fusarium species
Fusobacterium necrophorum
Gardnerella vaginalis
Giardia lamblia
Haemophilus ducreyi
Haemophilus influenzae
Helicobacter pylori
Heterophyes species
Histoplasma capsulatum
Histoplasma capsulatum
Histoplasma capsulatum
Hymenolepis diminuta
Hymenolepis nana
Klebsiella oxytoca
Klebsiella pneumoniae
Legionella pneumophila
Leishmania aethiopica
Leishmania amazonensis
Leishmania brasiliensis
Leishmania chagasi
Leishmania chagasi
Leishmania donovani
Leishmania donovani
Leishmania infantum
Leishmania major
Leishmania mexicana
Leishmania peruviana
Leishmania tropica
Leishmania venezualensis
Leishmania Viannia braziliensis
Leishmania Viannia guyayensis
Leishmania Viannia panamensis
Leptospira interrogans
Listeria ivanovii
Listeria monocytogenes
Loa loa
Madurella grisea
Madurella mycetomatis
Mansonella dracunculoides
Mansonella ozzardi
Mansonella perstans
Mansonella streptocerca
Metagonimus species
Microsporidium africanum
Microsporidium colonensus
Microsporum canis
Microsporum species
Moraxella catarrhalis
Morganella morganii
Mycobacterium africanum
Mycobacterium avium intracellulare
Mycobacterium bovis
Mycobacterium chelonae
Mycobacterium fortuitum
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium malmoense
Mycobacterium marinum
Mycobacterium microti
Mycobacterium paratuberculosis
Mycobacterium scrofulaceum
Mycobacterium scrofulaceum
Mycobacterium simiae
Mycobacterium szulgai
Mycobacterium tuberculosis
Mycobacterium ulcerans
Mycobacterium ulcerans
Mycobacterium xenopi
Mycobacterium xenopi
Mycoplasma caviae
Mycoplasma hominis
Mycoplasma pneumoniae
Naegleria fowleri
Necator americanus
Neisseria gonorrhoeae
Neisseria meningitidis
Neotestudina rosatii
Nocardia asteroides
Nocardia brasiliensis
Nocardia farcinica
Nocardia nova
Nocardia otitidiscaviarum
Nosema ocularum
Onchocerca volvulus
Opisthorchis felineus
Opisthorchis sinensis
Opisthorchis viverrini
Paracoccidioides brasiliensis
Paragonimus westermani
Pasteurella multocida
Penicillium marneffei
Peptostreptococcus anaerobius
Plasmodium falciparum
Plesiomonas shigelloides
Porphyromonas species
Prevotella dentalis
Prevotella species
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Prototheca wickerhamii
Providencia alcalifaciens
Providencia rettgeri
Pseudomonas aeruginosa
Pseudomonas mallei
Pseudomonas pseudomallei
Pseudoterranova decipiens
Rhodococcus equi
Rickettsia akari
Rickettsia canada
Rickettsia conorii
Rickettsia montana
Rickettsia prowazekii
Rickettsia rickettsii
Rickettsia sennetsu
Rickettsia tsutsugamushi
Rickettsia typhi
Rochalimaea quintana
Salmonella
Salmonella arizonae
Salmonella enteritidis
Salmonella paratyphi
Salmonella typhi
Salmonella typhimurium
Sarcocystis suihominis
Scedosporium apiospermum
Scedosporium proliferans
Schistosoma haematobium
Schistosoma intercalatum
Schistosoma japonicum
Schistosoma mansoni
Schistosoma mekongi
Serpulina species
Shigella boydii
Shigella dysenteriae
Shigella dysenteriae
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Sporothrix schenckii
Staphylococcus aureus
Streptobacillus moniliformis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus suis
Strongyloides stercoralis
Taenia saginata
Taenia solium
Toxocara canis
Toxocara cati
Toxoplasma gondii
Treponema carateum
Treponema pallidum
Treponema pertenue
Trichinella nativa
Trichinella nelsoni
Trichinella pseudospiralis
Trichinella spiralis
Trichomonas vaginalis
Trichophyton rubrum
Trichophyton tonsurans
Trichostrongylus orientalis
Trichuris trichiura
Tropheryma whipplei
Trypanosoma brucei brucei
Trypanosoma brucei gambiense
Trypanosoma brucei rhodesiense
