Squamous cell carcinoma, adenoid|0 0 0 0 0 0 0 1 0 2 4 5 11 17 10 18 8 10 27 0
Malignant teratoma, intermediate|0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pineocytoma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0
Leydig cell tumor, malignant|0 0 0 0 0 2 2 1 1 2 1 4 4 2 3 1 6 0 0 0
Carcinoma in pleomorphic adenoma|0 0 0 0 0 0 2 4 3 9 9 14 13 18 21 27 28 28 18 29
Embryonal carcinoma, NOS|16 1 8 119 373 403 318 155 94 56 38 28 24 13 9 4 6 7 0 0
Plasmacytoma, extramedullary|0 0 0 0 2 3 9 12 18 28 46 74 114 129 141 124 168 115 81 29
Follicular lymphoma, grade 1|0 0 2 3 10 53 108 164 260 387 559 826 1040 1220 1288 1110 1090 933 549 268
Astroblastoma|6 8 5 6 8 8 5 6 4 7 12 10 13 13 11 10 6 0 0 0
Epithelioid cell melanoma|0 0 0 1 3 4 7 5 10 15 19 39 36 60 57 56 38 57 63 29
Papillary carcinoma, follicular variant|0 8 27 104 281 449 497 555 566 608 686 723 675 650 531 428 278 187 99 29
Hemangioma, NOS|0 0 0 0 2 2 0 1 2 4 4 8 2 2 0 4 2 3 0 0
Ependymoma, NOS|116 34 37 26 38 55 48 47 49 55 57 74 70 62 46 36 16 10 9 0
Epithelioid hemangioendothelioma, malignant|0 0 0 2 3 1 4 5 4 3 7 7 8 7 4 10 8 3 0 0
Mucinous adenocarcinofibroma|0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0
Dermoid cyst, NOS|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
Hemangiosarcoma|2 0 0 4 15 20 24 22 26 36 47 95 114 166 185 236 269 378 351 238
Paget disease and intraductal ca.|0 0 0 0 0 1 12 24 34 54 65 104 157 184 186 228 219 244 135 208
Hepatocellular carcinoma, NOS|5 9 15 15 33 50 82 137 294 717 1295 1896 2537 3123 3470 3592 3105 2478 1675 774
Serous surface papillary carcinoma|0 0 0 0 4 10 14 30 48 94 154 259 387 464 412 468 385 295 162 59
Inflammatory carcinoma|0 0 0 0 2 16 58 91 133 209 243 321 347 317 315 289 276 320 387 208
Neuroendocrine carcinoma|0 0 0 7 21 22 39 55 93 171 263 419 591 839 938 988 1012 680 504 297
Sq. cell carc. in situ with question. stromal invas.|0 0 0 0 3 4 5 3 2 4 1 4 8 4 4 5 6 3 9 0
Chordoid glioma|0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
Teratoma with malig. transformation|0 0 0 0 0 1 0 1 1 0 2 2 3 3 3 0 2 0 0 0
Sq. cell carcinoma, micro-invasive|0 0 0 8 70 257 305 247 219 181 153 162 198 225 185 128 133 72 36 89
Leiomyoma, NOS|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adenocarcinoma in situ in familial polyp. coli|0 0 0 0 0 1 1 0 0 0 1 0 3 3 3 5 6 0 0 0
Yolk sac tumor|88 7 12 29 45 47 30 15 11 6 6 3 2 6 3 1 0 0 9 0
