ac. myelomonocytic leuk. w abn. mar. eosinophils|1 0 4 2 1 5 3 3 5 5 3 7 3 4 4 5 1 0 1 0
acidophil adenoma|0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
acidophil carcinoma|1 1 0 0 0 0 2 1 2 0 1 0 0 1 1 0 0 0 0 0
acinar cell carcinoma|0 3 25 44 39 70 69 89 203 381 940 1560 1818 2175 1853 1261 641 265 75 9
acinar cell cystadenocarcinoma|0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0
acral lentiginous melanoma, malig.|0 0 2 5 12 16 24 42 55 50 69 75 85 99 111 104 73 41 16 5
acute basophilic leukemia|0 0 0 0 0 0 0 0 0 1 1 1 1 0 2 1 1 0 1 0
acute biphenotypic leukemia|4 2 0 3 0 0 2 0 0 1 2 2 3 3 3 4 4 0 1 0
acute leukemia, nos|139 62 45 46 46 51 56 81 79 96 126 184 263 349 524 523 496 370 132 63
acute megakaryoblastic leukemia|59 1 4 2 2 3 1 8 9 9 15 14 19 24 34 21 21 7 4 0
acute monocytic leukemia|77 20 27 39 38 46 40 50 72 95 111 122 156 187 184 214 161 92 32 7
acute myeloid leuk. with multilineage dysplasia|1 1 1 2 3 2 2 2 9 10 19 23 30 43 50 60 46 17 6 0
acute myeloid leukemia with maturation|7 10 18 9 13 14 11 23 26 37 37 43 44 62 71 72 68 35 14 0
acute myeloid leukemia without maturation|6 5 10 7 16 12 13 12 22 23 19 44 36 39 60 65 32 24 3 0
acute myeloid leukemia, 11q23 abnormalities|1 0 0 0 1 0 1 1 1 3 0 0 2 3 4 0 3 2 0 0
acute myeloid leukemia, m6 type|11 2 5 3 7 11 8 14 21 20 44 64 96 112 111 114 99 58 13 2
acute myeloid leukemia, minimal differentiation|5 2 5 11 6 5 9 7 13 11 25 19 24 42 43 38 32 22 5 0
acute myeloid leukemia, t(8;21)(q22;q22)|2 2 1 3 5 8 2 2 3 9 6 4 9 9 7 6 6 1 0 0
acute myeloid leukemia|307 183 228 326 385 433 467 565 600 766 962 1224 1549 1972 2394 2367 1894 1030 399 80
acute myelomonocytic leukemia|30 13 21 28 40 56 61 61 91 94 101 133 188 204 263 241 223 96 48 14
acute panmyelosis with myelofibrosis|0 0 0 0 1 3 2 4 1 4 4 4 10 16 13 13 8 3 0 1
acute promyelocytic leuk.,t(15;17)(q22;q11-12)|19 21 38 48 68 60 104 79 92 83 88 66 84 64 85 77 34 21 6 3
adamantinoma of long bones|1 1 2 2 3 3 6 0 5 0 3 1 2 1 0 0 0 0 0 0
adamantinomatous craniopharyngioma|4 5 2 0 1 1 0 1 2 3 3 3 0 0 0 1 0 1 0 0
adenocarc. in situ in mult. adenomatous polyps|0 0 1 0 0 0 3 1 0 0 3 3 11 4 10 5 5 2 1 1
adenocarcinoid tumor|0 0 2 2 9 9 15 19 39 40 24 43 25 24 31 24 9 11 2 0
adenocarcinoma in adenoma. polyposis coli|0 0 0 3 5 13 15 17 12 16 22 11 13 23 15 11 2 1 0 0
adenocarcinoma in adenomatous polyp|0 0 2 4 13 28 64 165 335 670 1416 1924 2705 3399 3482 3065 2146 1076 326 60
adenocarcinoma in mult. adenomatous polyps|0 0 0 0 2 3 4 1 3 11 16 7 18 26 17 24 13 5 0 1
adenocarcinoma in situ in adenomatous polyp|0 0 0 2 6 13 31 67 151 260 613 774 1149 1362 1348 1211 721 350 92 13
adenocarcinoma in situ in familial polyp. coli|0 0 1 0 0 2 3 2 2 1 2 1 4 2 2 4 3 0 0 0
